/app/Repos/pandas/scripts/bench_join.py,41,49,do_outer_join,None,[a:Any;b:Any;av:Any;bv:Any],/app/Repos/pandas/scripts/bench_join.py,49,56,do_inner_join,None,[a:Any;b:Any;av:Any;bv:Any],76
/app/Repos/pandas/bench/bench_unique.py,56,63,algo3_sort,None,[],/app/Repos/pandas/bench/bench_unique.py,88,96,f2,None,[],59,88
/app/Repos/pandas/bench/bench_unique.py,192,215,khash_unique_str,None,[values:Any;expected_K:Any;size_hint:Any;sort:Any;memory:Any],/app/Repos/pandas/bench/bench_unique.py,215,229,khash_unique_int64,None,[values:Any;expected_K:Any;size_hint:Any;sort:Any],34,90
/app/Repos/pandas/bench/bench_unique.py,88,96,f2,None,[],/app/Repos/pandas/bench/bench_unique.py,96,135,algo4,None,[],13,73
/app/Repos/pandas/scripts/groupby_sample.py,22,30,random_sample,None,[],/app/Repos/pandas/scripts/groupby_sample.py,30,38,random_sample_v2,None,[],59,88
/app/Repos/pandas/doc/sphinxext/docscrape.py,196,252,_parse_see_also,None,[self:Any;content:Any],/app/Repos/pandas/doc/sphinxext/docscrape.py,206,217,parse_item_name,None,[text:Any],100
/app/Repos/pandas/scripts/json_manip.py,239,265,default_iget,None,[fields:Any;default:Any],/app/Repos/pandas/scripts/json_manip.py,250,260,f,None,[thing:Any],100
/app/Repos/pandas/vb_suite/test_perf.py,252,273,prep_pickle_for_total,None,[df:Any;agg_name:Any],/app/Repos/pandas/vb_suite/test_perf.py,262,271,prep,None,[df:Any],100
/app/Repos/pandas/doc/sphinxext/docscrape.py,379,389,_str_index,None,[self:Any],/app/Repos/pandas/doc/sphinxext/docscrape_sphinx.py,128,144,_str_index,None,[self:Any],59,93
/app/Repos/pandas/doc/sphinxext/phantom_import.py,42,183,import_phantom_module,None,[xml_file:Any],/app/Repos/pandas/doc/sphinxext/phantom_import.py,73,87,_get_bases,None,[node:Any;recurse:Any],100
/app/Repos/pandas/vb_suite/perf_HEAD.py,195,233,get_all_results,None,[repo_id:Any],/app/Repos/pandas/vb_suite/perf_HEAD.py,202,213,get_results_from_builds,None,[builds:Any],100
/app/Repos/pandas/bench/bench_unique.py,48,56,algo3_nosort,None,[],/app/Repos/pandas/bench/bench_unique.py,56,63,algo3_sort,None,[],68,92
/app/Repos/pandas/bench/io_roundtrip.py,99,109,pandas_roundtrip,None,[filename:Any;dma1:Any;dma2:Any],/app/Repos/pandas/bench/serialize.py,76,85,pandas_roundtrip,None,[filename:Any;dma1:Any;dma2:Any],100
/app/Repos/pandas/doc/sphinxext/comment_eater.py,25,32,add,None,[self:Any;string:Any;start:Any;end:Any;line:Any],/app/Repos/pandas/doc/sphinxext/comment_eater.py,47,55,add,None,[self:Any;string:Any;start:Any;end:Any;line:Any],61,84
/app/Repos/pandas/scripts/file_sizes.py,46,57,get_counts,None,[self:Any],/app/Repos/pandas/scripts/file_sizes.py,57,80,_count_function,None,[self:Any;indent_level:Any],26,70
/app/Repos/pandas/scripts/find_undoc_args.py,72,92,format_item_as_github_task_list,None,[i:Any;item:Any;repo:Any],/app/Repos/pandas/scripts/find_undoc_args.py,92,107,format_item_as_plain,None,[i:Any;item:Any],50,90
/app/Repos/pandas/scripts/json_manip.py,176,239,denorm,None,[queries:Any;iterable_of_things:Any;default:Any],/app/Repos/pandas/scripts/json_manip.py,204,236,_denorm,None,[queries:Any;thing:Any],100
/app/Repos/pandas/pandas/tools/tests/test_tile.py,27,33,test_bins,None,[self:Any],/app/Repos/pandas/pandas/tools/tests/test_tile.py,33,39,test_right,None,[self:Any],31,84
/app/Repos/pandas/bench/bench_unique.py,151,169,dict_unique,None,[values:Any;expected_K:Any;sort:Any;memory:Any],/app/Repos/pandas/bench/bench_unique.py,192,215,khash_unique_str,None,[values:Any;expected_K:Any;size_hint:Any;sort:Any;memory:Any],57,88
/app/Repos/pandas/scripts/testmed.py,45,71,insert,None,[self:Any;value:Any],/app/Repos/pandas/scripts/testmed.py,71,92,remove,None,[self:Any;value:Any],43,77
/app/Repos/pandas/pandas/tools/rplot.py,336,381,work,None,[self:Any;fig:Any;ax:Any],/app/Repos/pandas/pandas/tools/rplot.py,484,506,work,None,[self:Any;fig:Any;ax:Any],35,82
/app/Repos/pandas/pandas/tools/rplot.py,399,428,work,None,[self:Any;fig:Any;ax:Any],/app/Repos/pandas/pandas/tools/rplot.py,484,506,work,None,[self:Any;fig:Any;ax:Any],38,76
/app/Repos/pandas/pandas/tools/rplot.py,446,468,work,None,[self:Any;fig:Any;ax:Any],/app/Repos/pandas/pandas/tools/rplot.py,484,506,work,None,[self:Any;fig:Any;ax:Any],47,80
/app/Repos/pandas/scripts/bench_join.py,62,78,do_left_join_python,None,[a:Any;b:Any;av:Any;bv:Any],/app/Repos/pandas/scripts/bench_join.py,85,93,do_left_join_multi,None,[a:Any;b:Any;av:Any;bv:Any],14,75
/app/Repos/pandas/pandas/tools/rplot.py,446,468,work,None,[self:Any;fig:Any;ax:Any],/app/Repos/pandas/pandas/tools/rplot.py,536,570,work,None,[self:Any;fig:Any;ax:Any],55,76
/app/Repos/pandas/pandas/tools/rplot.py,484,506,work,None,[self:Any;fig:Any;ax:Any],/app/Repos/pandas/pandas/tools/rplot.py,536,570,work,None,[self:Any;fig:Any;ax:Any],47,73
/app/Repos/pandas/doc/sphinxext/docscrape.py,92,117,__init__,None,[self:Any;docstring:Any;config:Any],/app/Repos/pandas/doc/sphinxext/traitsdoc.py,30,77,__init__,None,[self:Any;cls:Any;modulename:Any;func_doc:Any],22,87
/app/Repos/pandas/doc/sphinxext/docscrape.py,335,345,_str_param_list,None,[self:Any;name:Any],/app/Repos/pandas/doc/sphinxext/docscrape_sphinx.py,62,103,_str_member_list,None,[self:Any;name:Any],18,87
/app/Repos/pandas/scripts/bench_join.py,85,93,do_left_join_multi,None,[a:Any;b:Any;av:Any;bv:Any],/app/Repos/pandas/scripts/bench_join.py,93,105,do_outer_join_multi,None,[a:Any;b:Any;av:Any;bv:Any],35,84
/app/Repos/pandas/doc/sphinxext/docscrape_sphinx.py,41,54,_str_param_list,None,[self:Any;name:Any],/app/Repos/pandas/doc/sphinxext/docscrape_sphinx.py,62,103,_str_member_list,None,[self:Any;name:Any],11,76
/app/Repos/pandas/doc/sphinxext/traitsdoc.py,116,141,get_doc_object,None,[obj:Any;what:Any;config:Any],/app/Repos/pandas/doc/sphinxext/docscrape_sphinx.py,220,239,get_doc_object,None,[obj:Any;what:Any;doc:Any;config:Any],41,76
/app/Repos/pandas/scripts/testmed.py,36,45,__getitem__,None,[self:Any;i:Any],/app/Repos/pandas/scripts/testmed.py,45,71,insert,None,[self:Any;value:Any],28,75
/app/Repos/pandas/doc/sphinxext/traitsdoc.py,83,101,__str__,None,[self:Any;indent:Any;func_role:Any],/app/Repos/pandas/doc/sphinxext/docscrape_sphinx.py,180,199,__str__,None,[self:Any;indent:Any;func_role:Any],52,86
/app/Repos/pandas/doc/sphinxext/docscrape.py,389,406,__str__,None,[self:Any;func_role:Any],/app/Repos/pandas/doc/sphinxext/docscrape_sphinx.py,180,199,__str__,None,[self:Any;indent:Any;func_role:Any],35,79
/app/Repos/pandas/pandas/tools/merge.py,185,204,get_result,None,[self:Any],/app/Repos/pandas/pandas/tools/merge.py,485,510,get_result,None,[self:Any],69,94
/app/Repos/pandas/pandas/tools/tests/test_tile.py,27,33,test_bins,None,[self:Any],/app/Repos/pandas/pandas/tools/tests/test_tile.py,45,51,test_arraylike,None,[self:Any],85
/app/Repos/pandas/pandas/tools/tests/test_tile.py,33,39,test_right,None,[self:Any],/app/Repos/pandas/pandas/tools/tests/test_tile.py,45,51,test_arraylike,None,[self:Any],18,83
/app/Repos/pandas/pandas/tools/tests/test_tile.py,39,45,test_noright,None,[self:Any],/app/Repos/pandas/pandas/tools/tests/test_tile.py,45,51,test_arraylike,None,[self:Any],18,77
/app/Repos/pandas/pandas/tools/rplot.py,37,59,__call__,None,[self:Any;data:Any;index:Any],/app/Repos/pandas/pandas/tools/rplot.py,80,111,__call__,None,[self:Any;data:Any;index:Any],71
/app/Repos/pandas/pandas/tools/rplot.py,336,381,work,None,[self:Any;fig:Any;ax:Any],/app/Repos/pandas/pandas/tools/rplot.py,446,468,work,None,[self:Any;fig:Any;ax:Any],29,82
/app/Repos/pandas/pandas/core/panel.py,437,464,get_value,None,[self:Any;*args:Any],/app/Repos/pandas/pandas/core/panel.py,464,508,set_value,None,[self:Any;*args:Any],14,80
/app/Repos/pandas/doc/sphinxext/compiler_unparse.py,134,147,_AssTuple,None,[self:Any;t:Any],/app/Repos/pandas/doc/sphinxext/compiler_unparse.py,473,492,_Tuple,None,[self:Any;t:Any],73
/app/Repos/pandas/pandas/tools/rplot.py,399,428,work,None,[self:Any;fig:Any;ax:Any],/app/Repos/pandas/pandas/tools/rplot.py,446,468,work,None,[self:Any;fig:Any;ax:Any],46,84
/app/Repos/pandas/pandas/core/nanops.py,225,234,nansum,None,[values:Any;axis:Any;skipna:Any],/app/Repos/pandas/pandas/core/nanops.py,234,252,nanmean,None,[values:Any;axis:Any;skipna:Any],35,78
/app/Repos/pandas/pandas/core/nanops.py,289,311,nanvar,None,[values:Any;axis:Any;skipna:Any;ddof:Any],/app/Repos/pandas/pandas/core/nanops.py,489,498,_get_counts,None,[mask:Any;axis:Any],34,85
/app/Repos/pandas/pandas/core/nanops.py,604,620,make_nancomp,None,[op:Any],/app/Repos/pandas/pandas/core/nanops.py,605,618,f,None,[x:Any;y:Any],100
/app/Repos/pandas/scripts/file_sizes.py,157,176,doit,None,[],/app/Repos/pandas/scripts/file_sizes.py,176,189,doit2,None,[],46,72
/app/Repos/pandas/pandas/core/internals.py,204,220,reindex_axis,None,[self:Any;indexer:Any;method:Any;axis:Any;fill_value:Any;limit:Any;mask_info:Any],/app/Repos/pandas/pandas/core/internals.py,871,877,diff,None,[self:Any;n:Any],38,76
/app/Repos/pandas/pandas/tools/rplot.py,37,59,__call__,None,[self:Any;data:Any;index:Any],/app/Repos/pandas/pandas/tools/rplot.py,132,146,__call__,None,[self:Any;data:Any;index:Any],15,72
/app/Repos/pandas/pandas/tools/rplot.py,80,111,__call__,None,[self:Any;data:Any;index:Any],/app/Repos/pandas/pandas/tools/rplot.py,132,146,__call__,None,[self:Any;data:Any;index:Any],15,72
/app/Repos/pandas/pandas/tools/tests/test_tile.py,27,33,test_bins,None,[self:Any],/app/Repos/pandas/pandas/tools/tests/test_tile.py,39,45,test_noright,None,[self:Any],31,78
/app/Repos/pandas/pandas/tools/tests/test_tile.py,33,39,test_right,None,[self:Any],/app/Repos/pandas/pandas/tools/tests/test_tile.py,39,45,test_noright,None,[self:Any],55,86
/app/Repos/pandas/pandas/core/panel4d.py,34,41,panel4d_init,None,[self:Any;data:Any;labels:Any;items:Any;major_axis:Any;minor_axis:Any;copy:Any;dtype:Any],/app/Repos/pandas/pandas/core/panel.py,129,134,__init__,None,[self:Any;data:Any;items:Any;major_axis:Any;minor_axis:Any;copy:Any;dtype:Any],68,96
/app/Repos/pandas/pandas/core/panel.py,309,336,__unicode__,None,[self:Any],/app/Repos/pandas/pandas/core/panel.py,323,332,axis_pretty,None,[a:Any],100
/app/Repos/pandas/pandas/core/internals.py,877,901,shift,None,[self:Any;indexer:Any;periods:Any;axis:Any],/app/Repos/pandas/pandas/core/internals.py,1765,1778,shift,None,[self:Any;indexer:Any;periods:Any;axis:Any],41,90
/app/Repos/pandas/doc/sphinxext/compiler_unparse.py,247,261,_From,None,[self:Any;t:Any],/app/Repos/pandas/doc/sphinxext/compiler_unparse.py,330,342,_Import,None,[self:Any;t:Any],73
/app/Repos/pandas/pandas/compat/__init__.py,625,641,__add__,None,[self:Any;other:Any],/app/Repos/pandas/pandas/compat/__init__.py,657,674,__or__,None,[self:Any;other:Any],56,94
/app/Repos/pandas/pandas/compat/__init__.py,641,657,__sub__,None,[self:Any;other:Any],/app/Repos/pandas/pandas/compat/__init__.py,657,674,__or__,None,[self:Any;other:Any],56,94
/app/Repos/pandas/pandas/tools/tests/test_pivot.py,18,32,setUp,None,[self:Any],/app/Repos/pandas/pandas/tools/tests/test_pivot.py,324,340,setUp,None,[self:Any],90
/app/Repos/pandas/pandas/core/panel.py,1229,1275,_add_aggregate_operations,None,[cls:Any;use_numexpr:Any],/app/Repos/pandas/pandas/core/panel.py,1247,1271,_panel_arith_method,None,[op:Any;name:Any;str_rep:Any;default_axis:Any;fill_zeros:Any;**eval_kwargs:Any],100
/app/Repos/pandas/pandas/core/nanops.py,35,47,__call__,None,[self:Any;f:Any],/app/Repos/pandas/pandas/core/nanops.py,36,44,_f,None,[*args:Any;**kwargs:Any],100
/app/Repos/pandas/doc/sphinxext/compiler_unparse.py,99,107,_And,None,[self:Any;t:Any],/app/Repos/pandas/doc/sphinxext/compiler_unparse.py,349,357,_List,None,[self:Any;t:Any],56,86
/app/Repos/pandas/pandas/compat/__init__.py,625,641,__add__,None,[self:Any;other:Any],/app/Repos/pandas/pandas/compat/__init__.py,641,657,__sub__,None,[self:Any;other:Any],83
/app/Repos/pandas/doc/sphinxext/compiler_unparse.py,158,169,_Bitand,None,[self:Any;t:Any],/app/Repos/pandas/doc/sphinxext/compiler_unparse.py,349,357,_List,None,[self:Any;t:Any],32,72
/app/Repos/pandas/doc/sphinxext/compiler_unparse.py,169,180,_Bitor,None,[self:Any;t:Any],/app/Repos/pandas/doc/sphinxext/compiler_unparse.py,349,357,_List,None,[self:Any;t:Any],32,72
/app/Repos/pandas/pandas/core/nanops.py,311,340,nanmin,None,[values:Any;axis:Any;skipna:Any],/app/Repos/pandas/pandas/core/nanops.py,381,392,nanargmin,None,[values:Any;axis:Any;skipna:Any],19,73
/app/Repos/pandas/pandas/core/nanops.py,340,370,nanmax,None,[values:Any;axis:Any;skipna:Any],/app/Repos/pandas/pandas/core/nanops.py,381,392,nanargmin,None,[values:Any;axis:Any;skipna:Any],15,70
/app/Repos/pandas/pandas/core/nanops.py,370,381,nanargmax,None,[values:Any;axis:Any;skipna:Any],/app/Repos/pandas/pandas/core/nanops.py,381,392,nanargmin,None,[values:Any;axis:Any;skipna:Any],53,90
/app/Repos/pandas/pandas/core/internals.py,627,757,putmask,None,[self:Any;mask:Any;new:Any;align:Any;inplace:Any],/app/Repos/pandas/pandas/core/internals.py,684,718,create_block,None,[v:Any;m:Any;n:Any;item:Any;reshape:Any],100
/app/Repos/pandas/pandas/core/internals.py,901,996,eval,None,[self:Any;func:Any;other:Any;raise_on_error:Any;try_cast:Any],/app/Repos/pandas/pandas/core/internals.py,950,962,handle_error,None,[],100
/app/Repos/pandas/pandas/core/internals.py,524,536,to_native_types,None,[self:Any;slicer:Any;na_rep:Any;**kwargs:Any],/app/Repos/pandas/pandas/core/internals.py,1257,1276,to_native_types,None,[self:Any;slicer:Any;na_rep:Any;**kwargs:Any],35,80
/app/Repos/pandas/pandas/core/internals.py,1135,1151,to_native_types,None,[self:Any;slicer:Any;na_rep:Any;float_format:Any;**kwargs:Any],/app/Repos/pandas/pandas/core/internals.py,1257,1276,to_native_types,None,[self:Any;slicer:Any;na_rep:Any;**kwargs:Any],29,78
/app/Repos/pandas/pandas/core/internals.py,1280,1286,_can_hold_element,None,[self:Any;element:Any],/app/Repos/pandas/pandas/core/internals.py,1495,1503,_can_hold_element,None,[self:Any;element:Any],42,78
/app/Repos/pandas/pandas/core/internals.py,204,220,reindex_axis,None,[self:Any;indexer:Any;method:Any;axis:Any;fill_value:Any;limit:Any;mask_info:Any],/app/Repos/pandas/pandas/core/internals.py,857,865,take,None,[self:Any;indexer:Any;ref_items:Any;axis:Any],20,78
/app/Repos/pandas/pandas/core/internals.py,524,536,to_native_types,None,[self:Any;slicer:Any;na_rep:Any;**kwargs:Any],/app/Repos/pandas/pandas/core/internals.py,1135,1151,to_native_types,None,[self:Any;slicer:Any;na_rep:Any;float_format:Any;**kwargs:Any],77
/app/Repos/pandas/pandas/core/nanops.py,392,426,nanskew,None,[values:Any;axis:Any;skipna:Any],/app/Repos/pandas/pandas/core/nanops.py,426,460,nankurt,None,[values:Any;axis:Any;skipna:Any],68,90
/app/Repos/pandas/pandas/core/internals.py,338,353,_maybe_downcast,None,[self:Any;blocks:Any;downcast:Any],/app/Repos/pandas/pandas/core/internals.py,1355,1367,_maybe_downcast,None,[self:Any;blocks:Any;downcast:Any],20,71
/app/Repos/pandas/pandas/core/nanops.py,519,542,nancorr,None,[a:Any;b:Any;method:Any;min_periods:Any],/app/Repos/pandas/pandas/core/nanops.py,566,585,nancov,None,[a:Any;b:Any;min_periods:Any],56,88
/app/Repos/pandas/pandas/core/internals.py,524,536,to_native_types,None,[self:Any;slicer:Any;na_rep:Any;**kwargs:Any],/app/Repos/pandas/pandas/core/internals.py,1558,1583,to_native_types,None,[self:Any;slicer:Any;na_rep:Any;date_format:Any;**kwargs:Any],35,80
/app/Repos/pandas/pandas/core/internals.py,1135,1151,to_native_types,None,[self:Any;slicer:Any;na_rep:Any;float_format:Any;**kwargs:Any],/app/Repos/pandas/pandas/core/internals.py,1558,1583,to_native_types,None,[self:Any;slicer:Any;na_rep:Any;date_format:Any;**kwargs:Any],29,78
/app/Repos/pandas/pandas/core/internals.py,1257,1276,to_native_types,None,[self:Any;slicer:Any;na_rep:Any;**kwargs:Any],/app/Repos/pandas/pandas/core/internals.py,1558,1583,to_native_types,None,[self:Any;slicer:Any;na_rep:Any;date_format:Any;**kwargs:Any],77
/app/Repos/pandas/scripts/bench_join.py,85,93,do_left_join_multi,None,[a:Any;b:Any;av:Any;bv:Any],/app/Repos/pandas/scripts/bench_join.py,105,117,do_inner_join_multi,None,[a:Any;b:Any;av:Any;bv:Any],35,84
/app/Repos/pandas/scripts/bench_join.py,93,105,do_outer_join_multi,None,[a:Any;b:Any;av:Any;bv:Any],/app/Repos/pandas/scripts/bench_join.py,105,117,do_inner_join_multi,None,[a:Any;b:Any;av:Any;bv:Any],81
/app/Repos/pandas/doc/sphinxext/docscrape.py,335,345,_str_param_list,None,[self:Any;name:Any],/app/Repos/pandas/doc/sphinxext/docscrape_sphinx.py,41,54,_str_param_list,None,[self:Any;name:Any],37,93
/app/Repos/pandas/pandas/core/internals.py,996,1113,where,None,[self:Any;other:Any;cond:Any;align:Any;raise_on_error:Any;try_cast:Any],/app/Repos/pandas/pandas/core/internals.py,1057,1078,func,None,[c:Any;v:Any;o:Any],100
/app/Repos/pandas/pandas/core/internals.py,950,962,handle_error,None,[],/app/Repos/pandas/pandas/core/internals.py,1057,1078,func,None,[c:Any;v:Any;o:Any],19,80
/app/Repos/pandas/pandas/core/internals.py,2012,2029,_reset_ref_locs,None,[self:Any],/app/Repos/pandas/pandas/core/internals.py,2043,2112,_set_ref_locs,None,[self:Any;labels:Any;do_refs:Any],15,71
/app/Repos/pandas/pandas/tools/tests/test_pivot.py,305,310,test_margins_no_values_two_rows,None,[self:Any],/app/Repos/pandas/pandas/tools/tests/test_pivot.py,310,315,test_margins_no_values_one_row_one_col,None,[self:Any],33,88
/app/Repos/pandas/pandas/core/internals.py,1245,1254,_try_coerce_result,None,[self:Any;result:Any],/app/Repos/pandas/pandas/core/internals.py,1527,1539,_try_coerce_result,None,[self:Any;result:Any],37,87
/app/Repos/pandas/pandas/tools/tests/test_pivot.py,305,310,test_margins_no_values_two_rows,None,[self:Any],/app/Repos/pandas/pandas/tools/tests/test_pivot.py,315,322,test_margins_no_values_two_row_two_cols,None,[self:Any],56,96
/app/Repos/pandas/pandas/tools/tests/test_pivot.py,310,315,test_margins_no_values_one_row_one_col,None,[self:Any],/app/Repos/pandas/pandas/tools/tests/test_pivot.py,315,322,test_margins_no_values_two_row_two_cols,None,[self:Any],28,88
/app/Repos/pandas/pandas/core/internals.py,2840,2905,set,None,[self:Any;item:Any;value:Any],/app/Repos/pandas/pandas/core/internals.py,2852,2861,_set_item,None,[item:Any;arr:Any],100
/app/Repos/pandas/pandas/core/internals.py,3072,3106,reindex_axis,None,[self:Any;new_axis:Any;indexer:Any;method:Any;axis:Any;fill_value:Any;limit:Any;copy:Any],/app/Repos/pandas/pandas/core/internals.py,3485,3492,reindex_axis0_with_method,None,[self:Any;new_axis:Any;indexer:Any;method:Any;fill_value:Any;limit:Any;copy:Any],36,91
/app/Repos/pandas/pandas/core/internals.py,3466,3480,reindex,None,[self:Any;new_axis:Any;indexer:Any;method:Any;fill_value:Any;limit:Any;copy:Any],/app/Repos/pandas/pandas/core/internals.py,3485,3492,reindex_axis0_with_method,None,[self:Any;new_axis:Any;indexer:Any;method:Any;fill_value:Any;limit:Any;copy:Any],53,79
/app/Repos/pandas/pandas/core/internals.py,220,270,reindex_items_from,None,[self:Any;new_ref_items:Any;indexer:Any;method:Any;fill_value:Any;limit:Any;copy:Any],/app/Repos/pandas/pandas/core/internals.py,3485,3492,reindex_axis0_with_method,None,[self:Any;new_axis:Any;indexer:Any;method:Any;fill_value:Any;limit:Any;copy:Any],20,73
/app/Repos/pandas/pandas/core/internals.py,1800,1845,reindex_items_from,None,[self:Any;new_ref_items:Any;indexer:Any;method:Any;fill_value:Any;limit:Any;copy:Any],/app/Repos/pandas/pandas/core/internals.py,3485,3492,reindex_axis0_with_method,None,[self:Any;new_axis:Any;indexer:Any;method:Any;fill_value:Any;limit:Any;copy:Any],20,79
/app/Repos/pandas/pandas/tools/rplot.py,399,428,work,None,[self:Any;fig:Any;ax:Any],/app/Repos/pandas/pandas/tools/rplot.py,510,535,work,None,[self:Any;fig:Any;ax:Any],34,72
/app/Repos/pandas/pandas/tools/rplot.py,484,506,work,None,[self:Any;fig:Any;ax:Any],/app/Repos/pandas/pandas/tools/rplot.py,510,535,work,None,[self:Any;fig:Any;ax:Any],38,71
/app/Repos/pandas/pandas/core/panel.py,923,932,reindex,None,[self:Any;items:Any;major_axis:Any;minor_axis:Any;**kwargs:Any],/app/Repos/pandas/pandas/core/panel.py,932,941,rename,None,[self:Any;items:Any;major_axis:Any;minor_axis:Any;**kwargs:Any],73
/app/Repos/pandas/pandas/core/panel.py,1229,1275,_add_aggregate_operations,None,[cls:Any;use_numexpr:Any],/app/Repos/pandas/pandas/core/panel.py,1249,1263,na_op,None,[x:Any;y:Any],100
/app/Repos/pandas/pandas/core/panel.py,1247,1271,_panel_arith_method,None,[op:Any;name:Any;str_rep:Any;default_axis:Any;fill_zeros:Any;**eval_kwargs:Any],/app/Repos/pandas/pandas/core/panel.py,1249,1263,na_op,None,[x:Any;y:Any],100
/app/Repos/pandas/doc/sphinxext/compiler_unparse.py,99,107,_And,None,[self:Any;t:Any],/app/Repos/pandas/doc/sphinxext/compiler_unparse.py,376,384,_Or,None,[self:Any;t:Any],76
/app/Repos/pandas/doc/sphinxext/compiler_unparse.py,158,169,_Bitand,None,[self:Any;t:Any],/app/Repos/pandas/doc/sphinxext/compiler_unparse.py,376,384,_Or,None,[self:Any;t:Any],32,72
/app/Repos/pandas/doc/sphinxext/compiler_unparse.py,169,180,_Bitor,None,[self:Any;t:Any],/app/Repos/pandas/doc/sphinxext/compiler_unparse.py,376,384,_Or,None,[self:Any;t:Any],32,72
/app/Repos/pandas/doc/sphinxext/compiler_unparse.py,349,357,_List,None,[self:Any;t:Any],/app/Repos/pandas/doc/sphinxext/compiler_unparse.py,376,384,_Or,None,[self:Any;t:Any],56,86
/app/Repos/pandas/pandas/tools/rplot.py,672,688,sequence_layers,None,[layers:Any],/app/Repos/pandas/pandas/tools/rplot.py,688,703,sequence_grids,None,[layer_grids:Any],43,70
/app/Repos/pandas/pandas/compat/__init__.py,625,641,__add__,None,[self:Any;other:Any],/app/Repos/pandas/pandas/compat/__init__.py,674,693,__and__,None,[self:Any;other:Any],36,88
/app/Repos/pandas/pandas/compat/__init__.py,641,657,__sub__,None,[self:Any;other:Any],/app/Repos/pandas/pandas/compat/__init__.py,674,693,__and__,None,[self:Any;other:Any],36,88
/app/Repos/pandas/pandas/compat/__init__.py,657,674,__or__,None,[self:Any;other:Any],/app/Repos/pandas/pandas/compat/__init__.py,674,693,__and__,None,[self:Any;other:Any],33,81
/app/Repos/pandas/pandas/compat/__init__.py,215,234,add_metaclass,None,[metaclass:Any],/app/Repos/pandas/pandas/compat/__init__.py,217,224,wrapper,None,[cls:Any],100
/app/Repos/pandas/pandas/core/nanops.py,53,95,__call__,None,[self:Any;alt:Any],/app/Repos/pandas/pandas/core/nanops.py,61,92,f,None,[values:Any;axis:Any;skipna:Any;**kwds:Any],100
/app/Repos/pandas/doc/sphinxext/compiler_unparse.py,99,107,_And,None,[self:Any;t:Any],/app/Repos/pandas/doc/sphinxext/compiler_unparse.py,158,169,_Bitand,None,[self:Any;t:Any],32,72
/app/Repos/pandas/doc/sphinxext/compiler_unparse.py,99,107,_And,None,[self:Any;t:Any],/app/Repos/pandas/doc/sphinxext/compiler_unparse.py,169,180,_Bitor,None,[self:Any;t:Any],32,72
/app/Repos/pandas/doc/sphinxext/compiler_unparse.py,158,169,_Bitand,None,[self:Any;t:Any],/app/Repos/pandas/doc/sphinxext/compiler_unparse.py,169,180,_Bitor,None,[self:Any;t:Any],76
/app/Repos/pandas/pandas/core/internals.py,950,962,handle_error,None,[],/app/Repos/pandas/pandas/core/internals.py,996,1113,where,None,[self:Any;other:Any;cond:Any;align:Any;raise_on_error:Any;try_cast:Any],19,80
/app/Repos/pandas/pandas/core/internals.py,1122,1129,_can_hold_element,None,[self:Any;element:Any],/app/Repos/pandas/pandas/core/internals.py,1280,1286,_can_hold_element,None,[self:Any;element:Any],73
