/app/Repos/pandas/scripts/json_manip.py,176,239,denorm,None,[queries:Any;iterable_of_things:Any;default:Any],/app/Repos/pandas/scripts/json_manip.py,204,236,_denorm,None,[queries:Any;thing:Any],100
/app/Repos/pandas/scripts/bench_join.py,62,78,do_left_join_python,None,[a:Any;b:Any;av:Any;bv:Any],/app/Repos/pandas/scripts/bench_join.py,85,93,do_left_join_multi,None,[a:Any;b:Any;av:Any;bv:Any],14,75
/app/Repos/pandas/doc/sphinxext/numpydoc/phantom_import.py,34,168,import_phantom_module,None,[xml_file:Any],/app/Repos/pandas/doc/sphinxext/numpydoc/phantom_import.py,80,94,base_cmp,None,[a:Any;b:Any],100
/app/Repos/pandas/pandas/tools/rplot.py,336,381,work,None,[self:Any;fig:Any;ax:Any],/app/Repos/pandas/pandas/tools/rplot.py,446,468,work,None,[self:Any;fig:Any;ax:Any],29,82
/app/Repos/pandas/scripts/windows_builder/check_and_build.py,97,109,do_compare,None,[build:Any],/app/Repos/pandas/scripts/windows_builder/check_and_build.py,109,118,do_version,None,[build:Any],57,93
/app/Repos/pandas/scripts/bench_join.py,85,93,do_left_join_multi,None,[a:Any;b:Any;av:Any;bv:Any],/app/Repos/pandas/scripts/bench_join.py,93,105,do_outer_join_multi,None,[a:Any;b:Any;av:Any;bv:Any],35,84
/app/Repos/pandas/pandas/tools/rplot.py,399,428,work,None,[self:Any;fig:Any;ax:Any],/app/Repos/pandas/pandas/tools/rplot.py,446,468,work,None,[self:Any;fig:Any;ax:Any],46,84
/app/Repos/pandas/pandas/tools/rplot.py,672,688,sequence_layers,None,[layers:Any],/app/Repos/pandas/pandas/tools/rplot.py,688,703,sequence_grids,None,[layer_grids:Any],43,70
/app/Repos/pandas/pandas/tools/rplot.py,336,381,work,None,[self:Any;fig:Any;ax:Any],/app/Repos/pandas/pandas/tools/rplot.py,484,506,work,None,[self:Any;fig:Any;ax:Any],35,82
/app/Repos/pandas/scripts/groupby_sample.py,22,30,random_sample,None,[],/app/Repos/pandas/scripts/groupby_sample.py,30,38,random_sample_v2,None,[],59,88
/app/Repos/pandas/pandas/tools/rplot.py,399,428,work,None,[self:Any;fig:Any;ax:Any],/app/Repos/pandas/pandas/tools/rplot.py,484,506,work,None,[self:Any;fig:Any;ax:Any],38,76
/app/Repos/pandas/pandas/tools/rplot.py,446,468,work,None,[self:Any;fig:Any;ax:Any],/app/Repos/pandas/pandas/tools/rplot.py,484,506,work,None,[self:Any;fig:Any;ax:Any],47,80
/app/Repos/pandas/doc/sphinxext/numpydoc/tests/test_docscrape.py,137,146,test_parameters,None,[],/app/Repos/pandas/doc/sphinxext/numpydoc/tests/test_docscrape.py,146,153,test_other_parameters,None,[],14,70
/app/Repos/pandas/bench/test.py,14,31,groupby1,None,[lat:Any;lon:Any;data:Any],/app/Repos/pandas/bench/test.py,31,46,group_mean,None,[lat:Any;lon:Any;data:Any],61,84
/app/Repos/pandas/bench/bench_unique.py,169,192,khash_unique,None,[values:Any;expected_K:Any;size_hint:Any;sort:Any;memory:Any],/app/Repos/pandas/bench/bench_unique.py,192,215,khash_unique_str,None,[values:Any;expected_K:Any;size_hint:Any;sort:Any;memory:Any],75
/app/Repos/pandas/scripts/file_sizes.py,46,57,get_counts,None,[self:Any],/app/Repos/pandas/scripts/file_sizes.py,57,80,_count_function,None,[self:Any;indent_level:Any],26,70
/app/Repos/pandas/bench/bench_unique.py,151,169,dict_unique,None,[values:Any;expected_K:Any;sort:Any;memory:Any],/app/Repos/pandas/bench/bench_unique.py,192,215,khash_unique_str,None,[values:Any;expected_K:Any;size_hint:Any;sort:Any;memory:Any],57,88
/app/Repos/pandas/doc/sphinxext/numpydoc/compiler_unparse.py,293,316,_If,None,[self:Any;t:Any],/app/Repos/pandas/doc/sphinxext/numpydoc/compiler_unparse.py,316,326,_IfExp,None,[self:Any;t:Any],18,74
/app/Repos/pandas/pandas/tools/tests/test_pivot.py,94,99,test_pass_array,None,[self:Any],/app/Repos/pandas/pandas/tools/tests/test_pivot.py,99,106,test_pass_function,None,[self:Any],50,82
/app/Repos/pandas/pandas/tools/tests/test_pivot.py,171,219,test_margins,None,[self:Any],/app/Repos/pandas/pandas/tools/tests/test_pivot.py,172,187,_check_output,None,[res:Any;col:Any;rows:Any;cols:Any],100
/app/Repos/pandas/pandas/tools/rplot.py,37,59,__call__,None,[self:Any;data:Any;index:Any],/app/Repos/pandas/pandas/tools/rplot.py,80,111,__call__,None,[self:Any;data:Any;index:Any],71
/app/Repos/pandas/scripts/json_manip.py,239,265,default_iget,None,[fields:Any;default:Any],/app/Repos/pandas/scripts/json_manip.py,250,260,f,None,[thing:Any],100
/app/Repos/pandas/pandas/tools/rplot.py,399,428,work,None,[self:Any;fig:Any;ax:Any],/app/Repos/pandas/pandas/tools/rplot.py,510,535,work,None,[self:Any;fig:Any;ax:Any],34,72
/app/Repos/pandas/pandas/compat/chainmap_impl.py,9,35,recursive_repr,None,[fillvalue:Any],/app/Repos/pandas/pandas/compat/chainmap_impl.py,15,27,wrapper,None,[self:Any],100
/app/Repos/pandas/pandas/compat/chainmap_impl.py,12,32,decorating_function,None,[user_function:Any],/app/Repos/pandas/pandas/compat/chainmap_impl.py,15,27,wrapper,None,[self:Any],100
/app/Repos/pandas/pandas/core/panel.py,1373,1419,_add_aggregate_operations,None,[cls:Any;use_numexpr:Any],/app/Repos/pandas/pandas/core/panel.py,1393,1407,na_op,None,[x:Any;y:Any],100
/app/Repos/pandas/pandas/core/panel.py,1391,1415,_panel_arith_method,None,[op:Any;name:Any;str_rep:Any;default_axis:Any;fill_zeros:Any;**eval_kwargs:Any],/app/Repos/pandas/pandas/core/panel.py,1393,1407,na_op,None,[x:Any;y:Any],100
/app/Repos/pandas/pandas/tools/rplot.py,484,506,work,None,[self:Any;fig:Any;ax:Any],/app/Repos/pandas/pandas/tools/rplot.py,510,535,work,None,[self:Any;fig:Any;ax:Any],38,71
/app/Repos/pandas/doc/sphinxext/numpydoc/docscrape_sphinx.py,256,275,get_doc_object,None,[obj:Any;what:Any;doc:Any;config:Any],/app/Repos/pandas/doc/sphinxext/numpydoc/traitsdoc.py,116,139,get_doc_object,None,[obj:Any;what:Any;config:Any],43,76
/app/Repos/pandas/doc/make.py,126,149,latex,None,[],/app/Repos/pandas/doc/make.py,149,172,latex_forced,None,[],46,75
/app/Repos/pandas/pandas/tools/tests/test_pivot.py,32,56,test_pivot_table,None,[self:Any],/app/Repos/pandas/pandas/tools/tests/test_pivot.py,106,113,test_pivot_table_multiple,None,[self:Any],46,96
/app/Repos/pandas/doc/sphinxext/numpydoc/traitsdoc.py,32,79,__init__,None,[self:Any;cls:Any;modulename:Any;func_doc:Any],/app/Repos/pandas/doc/sphinxext/numpydoc/docscrape.py,89,114,__init__,None,[self:Any;docstring:Any;config:Any],22,87
/app/Repos/pandas/doc/sphinxext/numpydoc/docscrape_sphinx.py,168,184,_str_index,None,[self:Any],/app/Repos/pandas/doc/sphinxext/numpydoc/docscrape.py,378,388,_str_index,None,[self:Any],59,93
/app/Repos/pandas/bench/bench_unique.py,32,39,algo1,None,[],/app/Repos/pandas/bench/bench_unique.py,39,48,algo2,None,[],57,91
/app/Repos/pandas/doc/sphinxext/numpydoc/docscrape_sphinx.py,66,83,_str_param_list,None,[self:Any;name:Any],/app/Repos/pandas/doc/sphinxext/numpydoc/docscrape.py,332,345,_str_param_list,None,[self:Any;name:Any],37,94
/app/Repos/pandas/pandas/core/reshape.py,790,875,wide_to_long,None,[df:Any;stubnames:Any;i:Any;j:Any],/app/Repos/pandas/pandas/core/reshape.py,850,862,melt_stub,None,[df:Any;stub:Any;i:Any;j:Any],100
/app/Repos/pandas/bench/bench_unique.py,151,169,dict_unique,None,[values:Any;expected_K:Any;sort:Any;memory:Any],/app/Repos/pandas/bench/bench_unique.py,169,192,khash_unique,None,[values:Any;expected_K:Any;size_hint:Any;sort:Any;memory:Any],57,88
/app/Repos/pandas/scripts/testmed.py,45,71,insert,None,[self:Any;value:Any],/app/Repos/pandas/scripts/testmed.py,71,92,remove,None,[self:Any;value:Any],43,77
/app/Repos/pandas/scripts/bench_join.py,41,49,do_outer_join,None,[a:Any;b:Any;av:Any;bv:Any],/app/Repos/pandas/scripts/bench_join.py,49,56,do_inner_join,None,[a:Any;b:Any;av:Any;bv:Any],76
/app/Repos/pandas/doc/sphinxext/numpydoc/docscrape_sphinx.py,91,143,_str_member_list,None,[self:Any;name:Any],/app/Repos/pandas/doc/sphinxext/numpydoc/docscrape.py,332,345,_str_param_list,None,[self:Any;name:Any],12,77
/app/Repos/pandas/doc/sphinxext/numpydoc/phantom_import.py,34,168,import_phantom_module,None,[xml_file:Any],/app/Repos/pandas/doc/sphinxext/numpydoc/phantom_import.py,65,78,_get_bases,None,[node:Any;recurse:Any],100
/app/Repos/pandas/pandas/tools/tests/test_tile.py,27,33,test_bins,None,[self:Any],/app/Repos/pandas/pandas/tools/tests/test_tile.py,33,39,test_right,None,[self:Any],31,84
/app/Repos/pandas/pandas/core/ops.py,509,581,_comp_method_SERIES,None,[op:Any;name:Any;str_rep:Any;masker:Any],/app/Repos/pandas/pandas/core/ops.py,615,630,wrapper,None,[self:Any;other:Any],36,70
/app/Repos/pandas/pandas/core/panel.py,798,871,to_frame,None,[self:Any;filter_observations:Any],/app/Repos/pandas/pandas/core/panel.py,829,836,construct_multi_parts,None,[idx:Any;n_repeat:Any;n_shuffle:Any],100
/app/Repos/pandas/scripts/find_undoc_args.py,72,92,format_item_as_github_task_list,None,[i:Any;item:Any;repo:Any],/app/Repos/pandas/scripts/find_undoc_args.py,92,107,format_item_as_plain,None,[i:Any;item:Any],50,90
/app/Repos/pandas/pandas/core/ops.py,537,578,wrapper,None,[self:Any;other:Any],/app/Repos/pandas/pandas/core/ops.py,615,630,wrapper,None,[self:Any;other:Any],36,70
/app/Repos/pandas/pandas/core/ops.py,581,633,_bool_method_SERIES,None,[op:Any;name:Any;str_rep:Any],/app/Repos/pandas/pandas/core/ops.py,615,630,wrapper,None,[self:Any;other:Any],100
/app/Repos/pandas/pandas/core/panel.py,1007,1021,_reduce,None,[self:Any;op:Any;axis:Any;skipna:Any;numeric_only:Any;filter_type:Any;**kwds:Any],/app/Repos/pandas/pandas/core/panel.py,1059,1067,_wrap_result,None,[self:Any;result:Any;axis:Any],28,82
/app/Repos/pandas/scripts/bench_join.py,85,93,do_left_join_multi,None,[a:Any;b:Any;av:Any;bv:Any],/app/Repos/pandas/scripts/bench_join.py,105,117,do_inner_join_multi,None,[a:Any;b:Any;av:Any;bv:Any],35,84
/app/Repos/pandas/scripts/bench_join.py,93,105,do_outer_join_multi,None,[a:Any;b:Any;av:Any;bv:Any],/app/Repos/pandas/scripts/bench_join.py,105,117,do_inner_join_multi,None,[a:Any;b:Any;av:Any;bv:Any],81
/app/Repos/pandas/pandas/core/panel.py,1393,1407,na_op,None,[x:Any;y:Any],/app/Repos/pandas/pandas/core/ops.py,727,756,na_op,None,[x:Any;y:Any],70
/app/Repos/pandas/pandas/tools/rplot.py,37,59,__call__,None,[self:Any;data:Any;index:Any],/app/Repos/pandas/pandas/tools/rplot.py,132,146,__call__,None,[self:Any;data:Any;index:Any],15,72
/app/Repos/pandas/doc/sphinxext/numpydoc/docscrape_sphinx.py,220,240,__str__,None,[self:Any;indent:Any;func_role:Any],/app/Repos/pandas/doc/sphinxext/numpydoc/traitsdoc.py,85,102,__str__,None,[self:Any;indent:Any;func_role:Any],42,83
/app/Repos/pandas/pandas/tools/rplot.py,80,111,__call__,None,[self:Any;data:Any;index:Any],/app/Repos/pandas/pandas/tools/rplot.py,132,146,__call__,None,[self:Any;data:Any;index:Any],15,72
/app/Repos/pandas/doc/sphinxext/numpydoc/comment_eater.py,29,36,add,None,[self:Any;string:Any;start:Any;end:Any;line:Any],/app/Repos/pandas/doc/sphinxext/numpydoc/comment_eater.py,49,57,add,None,[self:Any;string:Any;start:Any;end:Any;line:Any],61,84
/app/Repos/pandas/pandas/tools/rplot.py,446,468,work,None,[self:Any;fig:Any;ax:Any],/app/Repos/pandas/pandas/tools/rplot.py,536,570,work,None,[self:Any;fig:Any;ax:Any],55,76
/app/Repos/pandas/pandas/tools/rplot.py,484,506,work,None,[self:Any;fig:Any;ax:Any],/app/Repos/pandas/pandas/tools/rplot.py,536,570,work,None,[self:Any;fig:Any;ax:Any],47,73
/app/Repos/pandas/doc/sphinxext/numpydoc/docscrape.py,191,246,_parse_see_also,None,[self:Any;content:Any],/app/Repos/pandas/doc/sphinxext/numpydoc/docscrape.py,201,212,parse_item_name,None,[text:Any],100
/app/Repos/pandas/doc/sphinxext/numpydoc/compiler_unparse.py,102,110,_And,None,[self:Any;t:Any],/app/Repos/pandas/doc/sphinxext/numpydoc/compiler_unparse.py,172,183,_Bitor,None,[self:Any;t:Any],32,72
/app/Repos/pandas/doc/sphinxext/numpydoc/compiler_unparse.py,161,172,_Bitand,None,[self:Any;t:Any],/app/Repos/pandas/doc/sphinxext/numpydoc/compiler_unparse.py,172,183,_Bitor,None,[self:Any;t:Any],76
/app/Repos/pandas/pandas/core/ops.py,440,460,na_op,None,[x:Any;y:Any],/app/Repos/pandas/pandas/core/ops.py,727,756,na_op,None,[x:Any;y:Any],43,82
/app/Repos/pandas/pandas/core/ops.py,725,801,_arith_method_FRAME,None,[op:Any;name:Any;str_rep:Any;default_axis:Any;fill_zeros:Any;**eval_kwargs:Any],/app/Repos/pandas/pandas/core/ops.py,727,756,na_op,None,[x:Any;y:Any],100
/app/Repos/pandas/doc/sphinxext/numpydoc/docscrape_sphinx.py,220,240,__str__,None,[self:Any;indent:Any;func_role:Any],/app/Repos/pandas/doc/sphinxext/numpydoc/docscrape.py,388,406,__str__,None,[self:Any;func_role:Any],21,77
/app/Repos/pandas/pandas/core/panel.py,1393,1407,na_op,None,[x:Any;y:Any],/app/Repos/pandas/pandas/core/ops.py,434,509,_arith_method_SERIES,None,[op:Any;name:Any;str_rep:Any;fill_zeros:Any;default_axis:Any;**eval_kwargs:Any],70
/app/Repos/pandas/pandas/core/panel.py,447,479,get_value,None,[self:Any;*args:Any;**kwargs:Any],/app/Repos/pandas/pandas/core/panel.py,479,529,set_value,None,[self:Any;*args:Any;**kwargs:Any],38,87
/app/Repos/pandas/pandas/tools/tests/test_pivot.py,18,32,setUp,None,[self:Any],/app/Repos/pandas/pandas/tools/tests/test_pivot.py,324,340,setUp,None,[self:Any],90
/app/Repos/pandas/doc/sphinxext/numpydoc/docscrape.py,511,520,methods,None,[self:Any],/app/Repos/pandas/doc/sphinxext/numpydoc/docscrape.py,520,528,properties,None,[self:Any],56,77
/app/Repos/pandas/doc/sphinxext/numpydoc/compiler_unparse.py,244,258,_From,None,[self:Any;t:Any],/app/Repos/pandas/doc/sphinxext/numpydoc/compiler_unparse.py,326,338,_Import,None,[self:Any;t:Any],73
/app/Repos/pandas/doc/sphinxext/numpydoc/numpydoc.py,168,188,wrap_mangling_directive,None,[base_directive:Any;objtype:Any],/app/Repos/pandas/doc/sphinxext/numpydoc/numpydoc.py,170,187,run,None,[self:Any],100
/app/Repos/pandas/doc/sphinxext/numpydoc/compiler_unparse.py,102,110,_And,None,[self:Any;t:Any],/app/Repos/pandas/doc/sphinxext/numpydoc/compiler_unparse.py,345,353,_List,None,[self:Any;t:Any],56,86
/app/Repos/pandas/doc/sphinxext/numpydoc/compiler_unparse.py,161,172,_Bitand,None,[self:Any;t:Any],/app/Repos/pandas/doc/sphinxext/numpydoc/compiler_unparse.py,345,353,_List,None,[self:Any;t:Any],32,72
/app/Repos/pandas/doc/sphinxext/numpydoc/compiler_unparse.py,172,183,_Bitor,None,[self:Any;t:Any],/app/Repos/pandas/doc/sphinxext/numpydoc/compiler_unparse.py,345,353,_List,None,[self:Any;t:Any],32,72
/app/Repos/pandas/doc/sphinxext/numpydoc/compiler_unparse.py,137,150,_AssTuple,None,[self:Any;t:Any],/app/Repos/pandas/doc/sphinxext/numpydoc/compiler_unparse.py,467,486,_Tuple,None,[self:Any;t:Any],73
/app/Repos/pandas/pandas/tools/tests/test_tile.py,27,33,test_bins,None,[self:Any],/app/Repos/pandas/pandas/tools/tests/test_tile.py,45,51,test_arraylike,None,[self:Any],85
/app/Repos/pandas/pandas/core/panel4d.py,34,41,panel4d_init,None,[self:Any;data:Any;labels:Any;items:Any;major_axis:Any;minor_axis:Any;copy:Any;dtype:Any],/app/Repos/pandas/pandas/core/panel.py,131,136,__init__,None,[self:Any;data:Any;items:Any;major_axis:Any;minor_axis:Any;copy:Any;dtype:Any],68,96
/app/Repos/pandas/pandas/tools/tests/test_tile.py,33,39,test_right,None,[self:Any],/app/Repos/pandas/pandas/tools/tests/test_tile.py,45,51,test_arraylike,None,[self:Any],18,83
/app/Repos/pandas/pandas/tools/tests/test_tile.py,39,45,test_noright,None,[self:Any],/app/Repos/pandas/pandas/tools/tests/test_tile.py,45,51,test_arraylike,None,[self:Any],18,77
/app/Repos/pandas/pandas/core/panel.py,311,338,__unicode__,None,[self:Any],/app/Repos/pandas/pandas/core/panel.py,325,334,axis_pretty,None,[a:Any],100
/app/Repos/pandas/pandas/io/tests/test_ga.py,32,74,test_getdata,None,[self:Any],/app/Repos/pandas/pandas/io/tests/test_ga.py,128,183,test_segment,None,[self:Any],78
/app/Repos/pandas/pandas/tools/tests/test_pivot.py,305,310,test_margins_no_values_two_rows,None,[self:Any],/app/Repos/pandas/pandas/tools/tests/test_pivot.py,315,322,test_margins_no_values_two_row_two_cols,None,[self:Any],56,96
/app/Repos/pandas/pandas/tools/tests/test_pivot.py,310,315,test_margins_no_values_one_row_one_col,None,[self:Any],/app/Repos/pandas/pandas/tools/tests/test_pivot.py,315,322,test_margins_no_values_two_row_two_cols,None,[self:Any],28,88
/app/Repos/pandas/pandas/tools/tests/test_pivot.py,340,346,test_crosstab_single,None,[self:Any],/app/Repos/pandas/pandas/tools/tests/test_pivot.py,346,360,test_crosstab_multiple,None,[self:Any],33,96
/app/Repos/pandas/pandas/compat/chainmap_impl.py,9,35,recursive_repr,None,[fillvalue:Any],/app/Repos/pandas/pandas/compat/chainmap_impl.py,12,32,decorating_function,None,[user_function:Any],100
/app/Repos/pandas/pandas/core/config.py,610,643,pp_options_list,None,[keys:Any;width:Any;_print:Any],/app/Repos/pandas/pandas/core/config.py,616,624,pp,None,[name:Any;ks:Any],100
/app/Repos/pandas/pandas/compat/scipy.py,9,84,scoreatpercentile,None,[a:Any;per:Any;limit:Any;interpolation_method:Any],/app/Repos/pandas/pandas/core/algorithms.py,285,359,quantile,None,[x:Any;q:Any;interpolation_method:Any],52,72
/app/Repos/pandas/pandas/core/panel.py,1393,1407,na_op,None,[x:Any;y:Any],/app/Repos/pandas/pandas/core/ops.py,440,460,na_op,None,[x:Any;y:Any],70
/app/Repos/pandas/pandas/core/ops.py,434,509,_arith_method_SERIES,None,[op:Any;name:Any;str_rep:Any;fill_zeros:Any;default_axis:Any;**eval_kwargs:Any],/app/Repos/pandas/pandas/core/ops.py,440,460,na_op,None,[x:Any;y:Any],100
/app/Repos/pandas/pandas/compat/__init__.py,217,236,add_metaclass,None,[metaclass:Any],/app/Repos/pandas/pandas/compat/__init__.py,219,226,wrapper,None,[cls:Any],100
/app/Repos/pandas/pandas/compat/__init__.py,627,643,__add__,None,[self:Any;other:Any],/app/Repos/pandas/pandas/compat/__init__.py,676,695,__and__,None,[self:Any;other:Any],36,88
/app/Repos/pandas/pandas/compat/__init__.py,643,659,__sub__,None,[self:Any;other:Any],/app/Repos/pandas/pandas/compat/__init__.py,676,695,__and__,None,[self:Any;other:Any],36,88
/app/Repos/pandas/pandas/compat/__init__.py,659,676,__or__,None,[self:Any;other:Any],/app/Repos/pandas/pandas/compat/__init__.py,676,695,__and__,None,[self:Any;other:Any],33,81
/app/Repos/pandas/pandas/core/ops.py,801,870,_flex_comp_method_FRAME,None,[op:Any;name:Any;str_rep:Any;default_axis:Any;masker:Any],/app/Repos/pandas/pandas/core/ops.py,804,827,na_op,None,[x:Any;y:Any],100
/app/Repos/pandas/pandas/core/algorithms.py,285,359,quantile,None,[x:Any;q:Any;interpolation_method:Any],/app/Repos/pandas/pandas/core/algorithms.py,331,352,_get_score,None,[at:Any],100
/app/Repos/pandas/pandas/compat/scipy.py,9,84,scoreatpercentile,None,[a:Any;per:Any;limit:Any;interpolation_method:Any],/app/Repos/pandas/pandas/core/algorithms.py,331,352,_get_score,None,[at:Any],67,83
/app/Repos/pandas/pandas/core/index.py,29,45,_indexOp,None,[opname:Any],/app/Repos/pandas/pandas/core/index.py,35,42,wrapper,None,[self:Any;other:Any],100
/app/Repos/pandas/pandas/io/tests/test_date_converters.py,66,79,test_parse_date_fields,None,[self:Any],/app/Repos/pandas/pandas/io/tests/test_date_converters.py,79,96,test_datetime_six_col,None,[self:Any],18,70
/app/Repos/pandas/pandas/core/ops.py,509,581,_comp_method_SERIES,None,[op:Any;name:Any;str_rep:Any;masker:Any],/app/Repos/pandas/pandas/core/ops.py,537,578,wrapper,None,[self:Any;other:Any],100
/app/Repos/pandas/pandas/core/internals.py,241,257,reindex_axis,None,[self:Any;indexer:Any;method:Any;axis:Any;fill_value:Any;limit:Any;mask_info:Any],/app/Repos/pandas/pandas/core/internals.py,1934,1948,reindex_axis,None,[self:Any;indexer:Any;method:Any;axis:Any;fill_value:Any;limit:Any;mask_info:Any],67,82
/app/Repos/pandas/pandas/core/ops.py,434,509,_arith_method_SERIES,None,[op:Any;name:Any;str_rep:Any;fill_zeros:Any;default_axis:Any;**eval_kwargs:Any],/app/Repos/pandas/pandas/core/ops.py,900,931,_arith_method_PANEL,None,[op:Any;name:Any;str_rep:Any;fill_zeros:Any;default_axis:Any;**eval_kwargs:Any],58,77
/app/Repos/pandas/doc/sphinxext/numpydoc/compiler_unparse.py,102,110,_And,None,[self:Any;t:Any],/app/Repos/pandas/doc/sphinxext/numpydoc/compiler_unparse.py,161,172,_Bitand,None,[self:Any;t:Any],32,72
/app/Repos/pandas/pandas/core/panel.py,1391,1415,_panel_arith_method,None,[op:Any;name:Any;str_rep:Any;default_axis:Any;fill_zeros:Any;**eval_kwargs:Any],/app/Repos/pandas/pandas/core/ops.py,900,931,_arith_method_PANEL,None,[op:Any;name:Any;str_rep:Any;fill_zeros:Any;default_axis:Any;**eval_kwargs:Any],37,78
/app/Repos/pandas/pandas/core/ops.py,725,801,_arith_method_FRAME,None,[op:Any;name:Any;str_rep:Any;default_axis:Any;fill_zeros:Any;**eval_kwargs:Any],/app/Repos/pandas/pandas/core/ops.py,900,931,_arith_method_PANEL,None,[op:Any;name:Any;str_rep:Any;fill_zeros:Any;default_axis:Any;**eval_kwargs:Any],30,80
/app/Repos/pandas/pandas/core/panel.py,1393,1407,na_op,None,[x:Any;y:Any],/app/Repos/pandas/pandas/core/ops.py,900,931,_arith_method_PANEL,None,[op:Any;name:Any;str_rep:Any;fill_zeros:Any;default_axis:Any;**eval_kwargs:Any],74
/app/Repos/pandas/pandas/core/categorical.py,17,35,_cat_compare_op,None,[op:Any],/app/Repos/pandas/pandas/core/categorical.py,18,30,f,None,[self:Any;other:Any],100
/app/Repos/pandas/doc/sphinxext/numpydoc/compiler_unparse.py,102,110,_And,None,[self:Any;t:Any],/app/Repos/pandas/doc/sphinxext/numpydoc/compiler_unparse.py,372,380,_Or,None,[self:Any;t:Any],76
/app/Repos/pandas/doc/sphinxext/numpydoc/compiler_unparse.py,161,172,_Bitand,None,[self:Any;t:Any],/app/Repos/pandas/doc/sphinxext/numpydoc/compiler_unparse.py,372,380,_Or,None,[self:Any;t:Any],32,72
/app/Repos/pandas/doc/sphinxext/numpydoc/compiler_unparse.py,172,183,_Bitor,None,[self:Any;t:Any],/app/Repos/pandas/doc/sphinxext/numpydoc/compiler_unparse.py,372,380,_Or,None,[self:Any;t:Any],32,72
/app/Repos/pandas/doc/sphinxext/numpydoc/compiler_unparse.py,345,353,_List,None,[self:Any;t:Any],/app/Repos/pandas/doc/sphinxext/numpydoc/compiler_unparse.py,372,380,_Or,None,[self:Any;t:Any],56,86
/app/Repos/pandas/pandas/core/panel.py,1373,1419,_add_aggregate_operations,None,[cls:Any;use_numexpr:Any],/app/Repos/pandas/pandas/core/panel.py,1391,1415,_panel_arith_method,None,[op:Any;name:Any;str_rep:Any;default_axis:Any;fill_zeros:Any;**eval_kwargs:Any],100
/app/Repos/pandas/pandas/core/ops.py,801,870,_flex_comp_method_FRAME,None,[op:Any;name:Any;str_rep:Any;default_axis:Any;masker:Any],/app/Repos/pandas/pandas/core/ops.py,931,973,_comp_method_PANEL,None,[op:Any;name:Any;str_rep:Any;masker:Any],53,88
